Inflation consumer prices (annual %),,,,
Country,2015,2016,2017,2018,2019
Australia,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873
Azerbaijan,4.027685737,12.44337486,12.93591842,2.268546904,2.610571828
Brazil,9.029901024,8.739143523,3.44637335,3.664850284,3.732976212
Canada,1.125241361,1.428759547,1.596884129,2.268225672,1.949269024
Cambodia,1.223931955,3.019139751,2.912635574,2.459085154,1.942575008
China,1.437023809,2.000001822,1.593136001,2.0747904,2.899234164
Ecuador,3.966646233,1.728264633,0.417335589,-0.224103246,0.266012515
France,0.037514381,0.183334861,1.032282751,1.850815083,1.108254923
Germany,0.51442054,0.491748625,1.509496558,1.732167661,1.445667015
Indonesia,6.363121131,3.525805157,3.80879807,3.198346416,3.03058665
Jordan,-0.87685136,-0.778430463,3.323894476,4.462311085,0.761514047
Malaysia,2.104389802,2.090566595,3.871201158,0.884709161,0.662891866
Mexico,2.72064065,2.821707847,6.04145724,4.899350154,3.635961421
Nepal,7.868908956,8.79034332,3.627096107,4.061163388,5.568685478
Norway,2.171136654,3.55,1.875100596,2.764831345,2.167730033
Peru,3.398091947,3.557176636,2.994900458,1.50915423,2.252121914
South Africa,4.540642277,6.571396422,5.184246648,4.517165228,4.12024587
Ukraine,48.69986464,13.9127102,14.43832275,10.95185594,7.886717456
United States,0.118627136,1.261583206,2.130110004,2.442583297,1.812210075
Zimbabwe,-2.430968424,-1.543669601,0.893962316,10.61886587,255.3049908